#REF!;non_value;NO;WAV0022_02;4;WPF3_v3.2;30;*;L;5'04;non_value;non_value
#REF!;non_value;NO;JVV0148;7;0589-029-0R01 ;264;*;*;1'64;non_value;non_value
#REF!;non_value;NO;JVV0053;3;0949-013-0R01 M3;79;*;L;1'58;non_value;non_value
#REF!;non_value;NO;ELE0022;1;E00730-B ;35;L;*;4'14;non_value;non_value
#REF!;non_value;NO;JVV0119;2;0932-016-0Br02 M2;764;*;*;2'53;non_value;non_value
#REF!;non_value;NO;JVV0154;1;0932-001-0R01 M3;520;*;L;1'85;non_value;non_value
#REF!;non_value;NO;ELE0001_01;10;E00716-D;1050;*;*;16'74;non_value;non_value
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
non_value;8;non_value;non_value;non_value;non_value;non_value;non_value;non_value;11;40;29
non_value;non_value;non_value;non_value;non_value;ACABAR ELE0001_01;non_value;non_value;non_value;11;non_value;non_value
#REF!;non_value;NO;JVV0102;2;0949-034-0R01;100;*;*;1'55;non_value;non_value
#REF!;non_value;NO;JVV0155;1;0949-004-0(Ar+Br)1 M4.4;50;*;L;1'93;non_value;non_value
#REF!;non_value;SI;SOR0157;4;PLACA SIMMER NORA;20;*;*;4'75;non_value;non_value
#REF!;non_value;SI;SOR0036;28;316030 CTR DEL DISPARO IPL;50;*;*;2'46;non_value;non_value
#REF!;non_value;SI;SOR0036;29;316030 CTR DEL DISPARO IPL;50;*;*;*;non_value;non_value
#REF!;non_value;SI;SOR0036;30;316030 CTR DEL DISPARO IPL;75;*;*;*;non_value;non_value
#REF!;non_value;SI;SOR0036;31;316030 CTR DEL DISPARO IPL;50;*;*;*;non_value;non_value
#REF!;non_value;SI;PDC0001;7;PDC30007;25;*;*;1'63;non_value;non_value
#REF!;non_value;SI;SOR0101;17;315573 DISTRIBUCION POTENCIA PHOTO.;24;*;*;1'52;non_value;non_value
#REF!;non_value;NO;JVV0036;21;0877-031-0R01;106;*;*;1'4;non_value;non_value
#REF!;non_value;NO;JVV0118;3;0877-063-0R01 M1;588;*;*;2'2;non_value;non_value
#REF!;OF26;SI;PLA0001;6'1;SE-370-GI   ;2000;*;*;9'67;non_value;1000 PARA 1-3-16 Y 1000 PARA 4/4/16
#REF!;OF27;SI;PLA0001;6'2;SE-370-GI   ;2000;*;*;*;non_value;RESPETAR FECHA ENTREGA
#REF!;non_value;SI;CES0007_01;6;SC420_CI410;69;*;*;10'54;non_value;non_value
#REF!;non_value;NO;WAV0027;1;MONITEM BEACON;8;*;*;non_value;non_value;MANUAL> CONTROL HORAS
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
DEL 24-02 AL 4-03;9;non_value;non_value;non_value;non_value;non_value;non_value;non_value;0;40;40
#REF!;non_value;SI;THI0011;1;FUELDRAINER_V12;54;L;*;2'63;non_value;non_value
#REF!;non_value;SI;SOR0008;21;315661 C.I. SALIDAS SKINLIGHT;24;*;*;1'6;non_value;non_value
