07/11/2016;non_value;572;SOR0062;65;10101 PORTAGUJAS DE 5000 SIN PULSADOR;15;*;*;*;*;*;*;*;*;*;*;*;P;non_value;P;1'75;NO;OPL004685
07/11/2016;non_value;573;SOR0071;21;910068 TUBO CONEXCION BOMBA ELECT.;25;*;*;*;*;*;*;*;*;*;*;*;P;non_value;P;0'99;NO;OPL004688
11/04/2016;non_value;150;SOR0074;25;11139 MASCARA SKINLIGHT NUEVO;25;*;*;*;*;*;*;*;*;*;L;*;RP;27/06/2016;P;non_value;NO;OPL003359
02/05/2016;non_value;157;SOR0074;26;11139 MASCARA SKINLIGHT NUEVO;25;*;*;*;*;*;*;*;*;*;L;*;P;non_value;P;non_value;NO;OPL003409
02/11/2016;non_value;550;SOR0094;24;31527 PLACA SILICONA 2mm 1 SALIDA;1000;*;*;*;*;*;*;*;*;*;P;non_value;*;*;P;14'23;NO;OPL004600
02/11/2016;02/11/2016;533;SOR0101;19;315573 Distribucion potencia PHOTOCARE;8;L;*;*;*;*;*;L;0'52;SI;L;*;*;*;L;0'82;SI;MONTAR JUNTO SOR0101_01
non_value;non_value;599;SOR0101_01;20;315573 Distribucion potencia PHOTOCARE;16;L;*;*;*;*;*;L;0'55;P;P;27/10/2016;*;*;P;1'64;P;MONTAR JUNTO SOR0101
21/11/2016;non_value;591;SOR0120;26;60001 PORTAGUJAS DE 5000 PEQUE�O;10;*;*;*;*;*;*;*;*;*;*;*;P;non_value;P;1'48;NO;non_value
01/12/2016;01/11/2016;86;SOR0153_01;8;279791 BLOQUE DISPARO NORA    PLUS +;20;*;*;*;*;*;*;*;*;*;L;*;L;11/10/2016;L;non_value;SI;non_value
01/11/2016;01/11/2016;85;SOR0154;7;316234 PLACA DISPARO NORA +;60;L;*;*;*;*;*;L;2'52;SI;L;*;*;*;L;29'94;SI;INCLUIDO EN BLOQUE NORA + (SOR0153_01)
01/11/2016;01/11/2016;84;SOR0157;7;316307 PLACA SIMMER NORA;20;L;*;*;*;*;*;L;5;SI;L;*;*;*;L;6'54;SI;INCLUIDO EN BLOQUE NORA + (SOR0153_01)
16/12/2016;16/12/2016;583;THI0002_01;2;DISPLAY 52mm (DC4D52);460;P;non_value;P;non_value;*;M;P;5'15;SI;P;non_value;*;*;P;7'67;SI;21/10/16 SRD> CAD MODIFICADO 
non_value;04/11/2016;556;THI0016_01;2;POWERLATCH V1.2;250;L;*;*;*;595;*;P;0'99;SI;L;*;P;non_value;P;5'9;SI;non_value
non_value;02/12/2016;557;THI0016_01;3;POWERLATCH V1.2;250;P;14/11/2016;*;*;*;*;P;0'99;SI;P;11/11/2016;P;non_value;P;5'9;SI;non_value
non_value;16/01/2017;558;THI0016_01;4;POWERLATCH V1.2;250;P;12/12/2016;*;*;*;*;P;0'99;SI;P;09/01/2017;P;non_value;P;5'9;SI;non_value
non_value;10/02/2017;559;THI0016_01;5;POWERLATCH V1.2;250;P;13/01/2017;*;*;*;*;P;0'99;SI;P;09/01/2017;P;non_value;P;5'9;SI;non_value
